箱包料,其他面料>>箱包、鞋材料>>箱包材料
粗斜,棉类面料>>斜纹布
粗纺呢绒,呢料毛纺面料>>粗纺>>粗纺呢料
粗纺复合面料,呢料毛纺面料>>粗纺 针织面料>>粗针>>粗纺
粗针印花,针织面料>>粗针 针织面料>>其他针织面料>>针织印花布
粗针提花,针织面料>>粗针 针织面料>>针织提花
粗针毛圈,针织面料>>粗针 针织面料>>卫衣布>>毛圈布
粗针罗纹,针织面料>>粗针 针织面料>>罗纹
粗针色织,针织面料>>粗针 针织面料>>色织布
精纺毛料,呢料毛纺面料>>其他毛纺面料>>精纺
素绉缎,化纤面料>>人丝乔其 化纤面料>>其他粘胶(人棉)面料
纤丝绒,棉类面料>>灯芯绒
纬编布,无
纬编毛绒,呢料毛纺面料>>绒布
纱布,棉类面料>>其他棉纺
纱罗布,棉类面料>>梭织提花
纳米丝色织布,
细斜,针织面料>>针织提花>>针织斜纹 棉类面料>>斜纹布
细斜印花布,针织面料>>其他针织面料>>针织印花布 棉类面料>>梭织印花 麻类面料>>其他麻纺面料>>麻布印花
细皱,棉类面料>>工装面料
织锦缎,丝绸/真丝面料>>锦缎
绉花缎,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>雪纺 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料 化纤面料>>其他化纤面料>>仿真丝
经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
经编毛绒,呢料毛纺面料>>绒布
经编绒布,呢料毛纺面料>>绒布
经编里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
绒感记忆布,化纤面料面料>>羽绒服、棉服面料
绒雪纺,化纤面料>>雪纺
绣花布,加工服务>>绣花 蕾丝面料>>蕾丝绣花
绣花毛呢,呢料毛纺面料>>其他毛呢面料 呢料毛纺面料>>其他呢料
绸缎,丝绸/真丝面料>>欧根纱 丝绸/真丝面料>>乔其 丝绸/真丝面料>>重磅真丝 丝绸/真丝面料>>双绉 丝绸/真丝面料>>丝绒 丝绸/真丝面料>>香云纱 丝绸/真丝面料>>双乔 丝绸/真丝面料>>弹力缎 丝绸/真丝面料>>色丁 丝绸/真丝面料>>玻璃纱 丝绸/真丝面料>>蚕丝缎 丝绸/真丝面料>>锦缎 丝绸/真丝面料>>顺纡绉 丝绸/真丝面料>>真丝面料
缎彩太空层,针织面料>>空气层>>太空层
缎面印花,棉类面料>>缎纹>>缎面
缎面雪纺,化纤面料>>雪纺>>雪纺
网格布,棉类面料>>格子布>>网格
网眼太空层,针织面料>>空气层>>太空层
网纱印花,蕾丝/绣品>>网纱
网纱烫金,蕾丝/绣品>>网纱
羊剪绒,皮革/皮草>>人造毛>>皮毛一体 呢料毛纺面料>>绒布>>泰迪绒
羊圈呢,呢料毛纺面料>>圈圈呢
羊毛呢,呢料毛纺面料>>其他毛呢面料>>其他毛呢面料
羊毛拉架,呢料毛纺面料>>其他全毛面料
羊绒呢料,呢料毛纺面料>>羊绒
羊羔毛,呢料毛纺面料>>羊绒 呢料毛纺面料>>绒布>>羊羔绒
羊羔毛中球,呢料毛纺面料>>绒布>>羊羔绒
羊羔毛复合,呢料毛纺面料>>绒布>>羊羔绒
羊羔毛大球,呢料毛纺面料>>绒布>>羊羔绒
羊驼呢,呢料毛纺面料>>其他全毛面料>>羊驼毛
羊驼绒,呢料毛纺面料>>其他全毛面料>>羊驼毛
羊驼绒,呢料毛纺面料>>其他全毛面料>>羊驼毛
舒美绸,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
色丁布,丝绸/真丝面料>>色丁>>色丁 化纤面料>>色丁>>色丁
色丁提花布,丝绸/真丝面料>>色丁>>色丁 化纤面料>>色丁>>色丁
色拉姆,化纤面料>>功能布 化纤面料>>其他化纤面料
色织条纹,棉类面料>>条子布 棉类面料>>衬衫布 化纤面料>>条子布 针织面料>>色织布
色织条纹,棉类面料>>条子布 棉类面料>>衬衫布 化纤面料>>条子布 针织面料>>色织布
色织棉麻,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力 麻类面料>>其他麻纺面料>>色织
色织毛呢,呢料毛纺面料>>针织毛呢 呢料毛纺面料>>其他呢料
色织牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
色织罗纹,针织面料>>罗纹
苎麻,麻类面料>>苎麻布
苎麻棉,麻类面料>>苎麻布 麻类面料>>麻料混纺
荧光布,化纤面料>>其他化纤面料 棉类面料>>其他棉纺面料
菠萝麻,化纤面料>>其他涤纶面料 棉类面料>>棉类混纺
蕾丝刺毛,蕾丝/绣品>>蕾丝复合 蕾丝/绣品>>锦氨蕾丝
蕾丝珠片绣,蕾丝/绣品>>珠片绣 蕾丝/绣品>>蕾丝绣花
薄料牛仔,针织面料>>针织牛仔 棉类面料>>牛仔布
记忆消光布,化纤面料>>羽绒服、棉服面料
象皮绒,皮革/皮草>>仿皮绒 皮革/皮草>>皮绒
贡缎印花,棉类面料>>缎纹>>贡缎
贾卡,蕾丝/绣品>>普通蕾丝 蕾丝/绣品>>锦棉蕾丝 蕾丝/绣品>>股线蕾丝 蕾丝/绣品>>睫毛蕾丝 蕾丝/绣品>>锦氨蕾丝 蕾丝/绣品>>流苏蕾丝 蕾丝/绣品>>网布 蕾丝/绣品>>蕾丝绣花
超柔复合,呢料毛纺面料>>绒布>>仿超柔复合
超细旦,化纤面料>>其他化纤面料
轻盈纺,化纤面料>>其他化纤面料>>仿真丝
速干面料,针织面料>>弹力布>>阳离子拉架
里布,化纤面料>>塔丝绒 化纤面料>>其他化纤面料>>美丽绸 化纤面料>>其他涤纶面料>>长丝
金奥呢,呢料毛纺面料>>粗纺>>粗纺呢料
金狐绒,针织面料>>卫衣布>>卫衣布 化纤面料>>其他涤纶面料 棉类面料>>棉类混纺
金银丝色织,针织面料>>其他针织面料>>金银丝
针织刺毛,呢料毛纺面料>>龙凤呢
针织卫衣布,针织面料>>卫衣布>>卫衣布
针织压皱,针织面料>>其他针织面料
针织双层布,针织面料>>空气层>>健康布
针织拉绒,针织面料>>拉毛布>>拉毛布
针织泡泡麻,化纤面料>>雪纺
针织灯芯绒,棉类面料>>灯芯绒
