珠片绣>>针织类,针织面料>>其他针织面料
珠片绣>>蕾丝/绣品,蕾丝绣品>>珠片绣
珠片绣>>加工服务,加工服务>>珠片绣
登山布>>梭织类,化纤面料>>其他化纤面料
皇帝绒>>梭织类,尼料毛纺面料>>其他毛纺面料
皇帝绒>>针织类,尼料毛纺面料>>其他毛纺面料
皮带>>辅料,辅料>>服装饰品
皮标>>辅料,辅料>>洗唛、商标
皮毛>>皮革皮草,皮革皮草>>皮毛
皮毛一体>>皮革皮草,皮革皮草>>人造毛
皮绒>>皮革皮草,皮革皮草>>皮绒
皮革>>皮革皮草,皮革皮草>>皮革
皮革冲孔>>皮革皮草,皮革皮草>>皮革
皮革印花>>皮革皮草,皮革皮草>>皮革
皮革复合>>皮革皮草,皮革皮草>>皮革
盘带绣>>针织类,加工服务>>盘带绣
盘带绣>>加工服务,加工服务>>盘带绣
盘带绣花布>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
盘扣>>辅料,辅料>>钮扣
直条布>>针织类,针织面料>>其他针织面料
直条网>>针织类,针织面料>>网布
直贡呢>>针织类,针织面料>>其他针织面料
真丝面料>>梭织类,丝绸⁄真丝面料>>真丝面料
真皮>>皮革皮草,皮革皮草>>真皮
眼镜>>辅料,辅料>>服装饰品
睫毛蕾丝>>蕾丝/绣品,蕾丝绣品>>睫毛蕾丝
短毛绒>>针织类,尼料毛纺面料>>绒布
硅胶>>辅料,辅料>>拉链头
磨毛布>>针织类,针织面料>>拉毛布
神州呢>>梭织类,尼料毛纺面料>>其他呢料
秋香麻>>梭织类,化纤面料>>雪纺 
空气层>>针织类,针织面料>>空气层
空气层麂皮绒>>皮革皮草,皮革皮草>>麂皮绒
窗帘加工>>加工服务,加工服务>>窗帘加工
窗帘布>>其他面料,其他面料>>窗帘面料
窗纱>>其他面料,其他面料>>窗纱
立体绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
立绒>>梭织类,化纤面料>>其他化纤面料
章仔>>辅料,辅料>>布贴
竹纤维面料>>针织类,针织面料>>其他针织面料
竹节汗布>>针织类,针织面料>>汗布
竹节牛仔>>针织类,针织面料>>针织牛仔
竹节牛仔>>梭织类,针织面料>>针织牛仔
篷布>>其他面料,其他面料>>篷布
米兰呢>>针织类,尼料毛纺面料>>针织毛呢
米兰绒>>针织类,尼料毛纺面料>>绒布
米兰麻>>梭织类,化纤面料>>雪纺 
米通格>>梭织类,棉类面料>>其他棉纺
粗纺>>针织类,针织面料>>粗针
粗纺提花>>梭织类,尼料毛纺面料>>粗纺
粗花呢>>梭织类,尼料毛纺面料>>粗纺
粗针>>针织类,针织面料>>粗针
粗针坑条>>针织类,针织面料>>粗针
粗针抽条>>针织类,针织面料>>粗针
粗针条纹>>针织类,针织面料>>色织布
粗针汗布>>针织类,针织面料>>汗布
粗针磨毛>>针织类,针织面料>>粗针
粗针竹节>>针织类,针织面料>>粗针
粘衬>>辅料,辅料>>衬布
精纺呢>>梭织类,尼料毛纺面料>>其他毛纺面料
纱卡>>梭织类,棉类面料>>纱卡
纱线>>辅料,辅料>>其他纺织辅料
纸衬>>辅料,辅料>>衬布
纽扣>>辅料,辅料>>钮扣
织带>>辅料,辅料>>织带
经编汗布>>针织类,针织面料>>汗布
绒布>>针织类,尼料毛纺面料>>绒布
绗缝>>加工服务,加工服务>>绗缝
绣品>>蕾丝/绣品,蕾丝绣品>>绣品
绣花>>加工服务,加工服务>>绣花
绣花标>>辅料,辅料>>布贴
绣花窗帘布>>其他面料,其他面料>>窗帘面料
绣花章>>辅料,辅料>>布贴
绳带>>辅料,辅料>>绳子类
绳绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
缎带绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
缎纹>>梭织类,棉类面料>>缎纹
缎面>>梭织类,棉类面料>>缎纹
缎面提花>>梭织类,棉类面料>>缎纹
编织布>>其他面料,其他面料>>编织布
编织绳>>辅料,辅料>>绳子类
网孔布>>梭织类,针织面料>>网布
网布>>针织类,针织面料>>网布
网布>>蕾丝/绣品,蕾丝绣品>>网布
网布印花>>蕾丝/绣品,蕾丝绣品>>网布
网布提花>>蕾丝/绣品,蕾丝绣品>>网布
网布提花>>针织类,蕾丝绣品>>网布
网布植绒>>蕾丝/绣品,蕾丝绣品>>网布
网布珠片绣>>蕾丝/绣品,蕾丝绣品>>网布
网布盘带绣>>蕾丝/绣品,蕾丝绣品>>网布
网布绣花>>蕾丝/绣品,蕾丝绣品>>网布
网眼布>>针织类,针织面料>>网布
网眼提花>>针织类,针织面料>>针织提花
网纱>>梭织类,蕾丝绣品>>网纱
网纱>>蕾丝/绣品,蕾丝绣品>>网纱
网纱绣花>>梭织类,蕾丝绣品>>网纱
网纱绣花>>蕾丝/绣品,蕾丝绣品>>网纱
罗纹>>针织类,针织面料>>罗纹
罗缎>>梭织类,棉类面料>>其他棉纺
罗马布>>针织类,针织面料>>双面布
羊毛绒>>针织类,尼料毛纺面料>>绒布
羊皮>>皮革皮草,皮革皮草>>真皮
羊绒>>针织类,尼料毛纺面料>>羊绒
羊羔绒>>针织类,尼料毛纺面料>>绒布
美丽绸>>梭织类,化纤面料>>其他化纤面料
美人条>>针织类,针织面料>>其他针织面料
美国网>>针织类,针织面料>>网布
羽毛>>辅料,辅料>>流苏、穗
羽绒服加工>>加工服务,加工服务>>羽绒服加工
羽绒毛>>其他面料,辅料>>纺织填充物
股线蕾丝>>蕾丝/绣品,蕾丝绣品>>股线蕾丝
胚布印花>>加工服务,加工服务>>印花
胸垫>>辅料,辅料>>肩垫
腰带>>辅料,辅料>>服装饰品
舒棉绒>>针织类,尼料毛纺面料>>绒布
色丁带>>辅料,辅料>>织带
色织布>>梭织类,针织面料>>色织布
色织提花>>针织类,棉类面料>>梭织提花
色织提花>>梭织类,棉类面料>>梭织提花
芝麻呢>>梭织类,尼料毛纺面料>>其他呢料
花呢>>梭织类,尼料毛纺面料>>其他呢料
花式呢>>梭织类,尼料毛纺面料>>其他呢料
花瑶绉>>梭织类,化纤面料>>花瑶绉
花边>>辅料,辅料>>花边
花边>>蕾丝/绣品,蕾丝绣品>>花边
莫代尔汗布>>针织类,针织面料>>汗布
莱卡布>>针织类,针织面料>>弹力布
菠萝布>>针织类,针织面料>>针织提花
蓝狐毛>>皮革皮草,皮革皮草>>皮毛
蕾丝复合>>蕾丝/绣品,蕾丝绣品>>蕾丝复合
蕾丝绣花>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
蚂蚁布>>针织类,尼料毛纺面料>>绒布
蚕丝缎>>梭织类,丝绸⁄真丝面料>>蚕丝缎
蛇仔布>>针织类,针织面料>>针织提花
蜂窝呢>>梭织类,尼料毛纺面料>>其他呢料
衣架>>辅料,辅料>>其他纺织辅料
衬衫布>>梭织类,棉类面料>>衬衫布
装饰布>>其他面料,其他面料>>装饰布
装饰扣>>辅料,辅料>>钮扣
装饰线>>辅料,辅料>>线类
西亚呢>>梭织类,尼料毛纺面料>>其他呢料
西装面料>>梭织类,尼料毛纺面料>>其他呢料
调节扣>>辅料,辅料>>钮扣
貉子毛>>皮革皮草,皮革皮草>>皮毛
贝贝绒>>针织类,尼料毛纺面料>>绒布
贡缎>>梭织类,棉类面料>>缎纹
贴布绣>>辅料,辅料>>布贴
贴布绣花>>蕾丝/绣品,蕾丝绣品>>绣品
贴标>>辅料,辅料>>布贴
赛络纺>>梭织类,棉类面料>>其他棉纺
超柔>>针织类,尼料毛纺面料>>绒布
超柔皮>>皮革皮草,皮革皮草>>皮革
超纤布>>针织类,尼料毛纺面料>>绒布
软狐>>皮革皮草,皮革皮草>>皮毛
运动系列>>针织类,针织面料>>其他针织面料
透明膜>>其他面料,其他面料>>特种面料
遮光布>>其他面料,其他面料>>窗帘面料
醋酸面料>>梭织类,化纤面料>>其他化纤面料
里约呢>>梭织类,尼料毛纺面料>>其他呢料
金丝绒>>针织类,尼料毛纺面料>>绒布
金丝绒>>梭织类,尼料毛纺面料>>绒布
金光绒>>针织类,尼料毛纺面料>>绒布
金属扣>>辅料,辅料>>钮扣
金属标>>辅料,辅料>>洗唛、商标
金属环>>辅料,辅料>>服装饰品
金貂绒>>针织类,尼料毛纺面料>>绒布
金银丝>>针织类,针织面料>>其他针织面料
针织乱麻>>针织类,针织面料>>其他针织面料
针织剪花>>针织类,针织面料>>其他针织面料
针织印花布>>针织类,针织面料>>其他针织面料
针织压花>>针织类,针织面料>>其他针织面料
针织复合面料>>针织类,针织面料>>其他针织面料
针织提花>>针织类,针织面料>>针织提花
针织斜纹>>针织类,针织面料>>针织提花
针织植绒>>针织类,针织面料>>其他针织面料
针织毛呢>>针织类,尼料毛纺面料>>针织毛呢
针织烧花>>针织类,针织面料>>其他针织面料
针织牛仔>>针织类,针织面料>>针织牛仔
针织竹节>>针织类,针织面料>>其他针织面料
针织绣花>>针织类,针织面料>>其他针织面料
针织色丁>>针织类,针织面料>>其他针织面料
针织间条>>针织类,针织面料>>色织布
针织雪纺>>针织类,针织面料>>其他针织面料
钉珠花>>辅料,辅料>>服装饰品
钩绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
钻石绒>>针织类,尼料毛纺面料>>绒布
银狐绒>>针织类,尼料毛纺面料>>绒布
链条绣>>蕾丝/绣品,蕾丝绣品>>蕾丝绣花
锦棉蕾丝>>蕾丝/绣品,蕾丝绣品>>锦棉蕾丝
锦氨汗布>>针织类,针织面料>>汗布
锦氨蕾丝>>蕾丝/绣品,蕾丝绣品>>锦氨蕾丝
镂空绣>>蕾丝/绣品,蕾丝绣品>>镂空绣
镭射面料>>其他面料,其他面料>>特种面料
长丝>>梭织类,化纤面料>>其他涤纶面料
长毛绒>>针织类,尼料毛纺面料>>绒布
长毛绒>>梭织类,尼料毛纺面料>>绒布
防滑带>>辅料,辅料>>其他带子类
防绒内胆布>>梭织类,棉类面料>>其他棉纺
防羽布>>梭织类,化纤面料>>其他化纤面料
阳光麻>>梭织类,化纤面料>>雪纺 
阳离子拉架>>针织类,针织面料>>弹力布
阿尔巴卡>>梭织类,尼料毛纺面料>>其他全毛面料
阿玛呢>>梭织类,尼料毛纺面料>>其他呢料
雅典呢>>梭织类,尼料毛纺面料>>其他呢料
雪呢绒>>其他面料,其他面料>>窗帘面料
雪尼尔>>其他面料,其他面料>>家纺
雪纺>>梭织类,化纤面料>>雪纺 
雪花绒>>针织类,尼料毛纺面料>>绒布
雪花绒>>梭织类,尼料毛纺面料>>绒布
鞋材料>>皮革皮草,其他面料>>箱包、鞋材料
鞋材料>>其他面料,其他面料>>箱包、鞋材料
韩国绒>>梭织类,尼料毛纺面料>>绒布
韩国绒>>针织类,尼料毛纺面料>>绒布
韩国网>>针织类,针织面料>>网布
韩国麻>>梭织类,化纤面料>>雪纺 
韩巢呢>>梭织类,尼料毛纺面料>>其他呢料
领花>>蕾丝/绣品,蕾丝绣品>>绣品
领花>>辅料,辅料>>服装饰品
风纪扣>>辅料,辅料>>钮扣
风衣呢>>梭织类,尼料毛纺面料>>其他呢料
飞织布>>其他面料,其他面料>>飞织布
饰品>>辅料,辅料>>服装饰品
香云纱>>梭织类,丝绸⁄真丝面料>>香云纱
香格麻>>梭织类,麻类面料>>其他麻纺面料
马海毛>>梭织类,尼料毛纺面料>>其他毛纺面料
骑兵斜>>梭织类,棉类面料>>斜纹布
高弹尼龙氨纶汗布>>针织类,针织面料>>汗布
魔术贴>>辅料,辅料>>魔术贴
鱼鳞布>>针织类,针织面料>>卫衣布
鳄鱼皮>>皮革皮草,皮革皮草>>真皮
鸟眼布>>针织类,针织面料>>网布
鹿皮绒>>皮革皮草,皮革皮草>>鹿皮绒
麂皮绒>>皮革皮草,皮革皮草>>麂皮绒
麂皮绒复合>>皮革皮草,皮革皮草>>麂皮绒
麦尔登呢>>梭织类,尼料毛纺面料>>麦尔登呢
麻布印花>>梭织类,麻类面料>>其他麻纺面料
麻料>>针织类,麻类面料>>其他麻纺面料
