经编布,针织面料>>其他针织面料>>其他经编布 针织面料>>汗布>>经编汗布
水晶绒,呢料毛纺面料>>绒布>>水晶超柔
羊羔毛复合,呢料毛纺面料>>绒布>>羊羔绒
经编绒布,呢料毛纺面料>>绒布
涤棉纱卡,棉类面料>>纱卡
涤麻,麻类面料>>麻料混纺
麻料色织,麻类面料>>其他麻纺面料>>色织
针织快时尚女装,无
窗帘窗纱,其他面料>>窗帘面料 其他面料>>窗纱
棉花绒,呢料毛纺面料>>绒布>>羊羔绒
针织阳离子,针织面料>>弹力布>>阳离子拉架 化纤面料>>其他涤纶面料
阻燃面料,化纤面料>>功能布
阳离子汗布,针织面料>>汗布
真丝印花,丝绸/真丝面料>>真丝面料
羊圈呢,呢料毛纺面料>>圈圈呢
俏丽呢,呢料毛纺面料>>羊绒
羊驼绒,呢料毛纺面料>>其他全毛面料>>羊驼毛
卓尚呢,呢料毛纺面料>>粗纺 呢料毛纺面料>>羊绒
有光锦棉,化纤面料>>其他化纤面料
天丝绉,针织面料>>其他针织面料
钻石丝,化纤面料>>其他化纤面料>>风衣布
提花毛呢,呢料毛纺面料>>其他毛呢面料
特密纱,蕾丝/绣品>>网纱
啊啊啊啊啊,无
弹力雪纺,化纤面料>>雪纺
乔其纱,丝绸/真丝面料>>乔其 化纤面料>>雪纺
顺纡皱,丝绸/真丝面料>>顺纡绉
雪纺珠,化纤面料>>雪纺
棉麻印花,麻类面料>>麻料混纺>>麻料混纺 麻类面料>>麻棉弹力 麻类面料>>其他麻纺面料>>麻布印花
提花,针织面料>>针织提花  棉类面料>>梭织提花
真丝麻,麻类面料>>麻料混纺
玉米格,针织面料>>针织提花>>玉米粒
斜纹印花布,棉类面料>>斜纹布 棉类面料>>梭织印花
TR,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料
时装,呢料毛纺面料>>针织毛呢>>时装呢
水晶麻,化纤面料>>雪纺>>韩国麻
韩国纱,化纤面料>>雪纺>>佳丽纱
意大利绒,呢料毛纺面料>>绒布>>短毛绒 呢料毛纺面料>>绒布>>天鹅绒
针织烂花,棉类面料>>其他棉纺>>烂花 针织面料>>其他针织面料>>其他针织面料
缎面印花,棉类面料>>缎纹>>缎面
仿麻竹节,化纤面料>>仿麻布
纱布,棉类面料>>其他棉纺
雪纺绉,化纤面料>>雪纺
真丝缎,丝绸/真丝面料>>真丝面料
地毯布,其他面料>>地毯
夹克面料,化纤面料>>羽绒服、棉服面料 化纤面料>>其他化纤面料>>冲锋衣面料 化纤面料>>其他化纤面料>>风衣面料
针织压皱,针织面料>>其他针织面料
五枚缎(亮光缎纹),棉类面料>>缎纹
复合毛绒,呢料毛纺面料>>绒布
风衣面料,化纤面料>>其他化纤面料>>风衣面料
羽绒服面料,化纤面料>>羽绒服、棉服面料
超细旦,化纤面料>>其他化纤面料
双层皱,棉类面料>>绉布
牙签条,棉类面料>>条子布 棉类面料>>衬衫布
苎麻,麻类面料>>苎麻布
棉锦双层,棉类面料>>弹力布
丝麻提花,麻类面料>>亚麻布 棉类面料>>棉类混纺
印花毛圈布,针织面料>>卫衣布>>毛圈布
单面双面提花,无
针织刺毛,呢料毛纺面料>>龙凤呢
阳离子,化纤面料>>其他涤纶面料
9088,无
印花化纤布,化纤面料>>其他化纤面料
毛圈,针织面料>>卫衣布>>毛圈布
卡通绣花章,辅料>>布贴>>绣花章
手工饰品,辅料>>烫图、烫钻>>手工钻 辅料>>服装饰品>>手工花
领花，假领,辅料>>服装饰品>>领花 蕾丝/绣品>>绣品>>领花
牛奶丝花边,辅料>>花边 蕾丝/绣品>>花边
羊毛拉架,呢料毛纺面料>>其他全毛面料
成品毛毯,呢料毛纺面料>>绒布
法兰绒，珊瑚绒,呢料毛纺面料>>绒布>>法兰绒 呢料毛纺面料>>绒布>>珊瑚绒
摇粒绒，银狐绒,呢料毛纺面料>>绒布>>摇粒绒 呢料毛纺面料>>绒布>>银狐绒
遇水变色花型,无
帐篷面料,其他面料>>篷布
压皱布,加工服务>>定型>>压皱
网布，蚊帐布,针织面料>>网布 蕾丝/绣品>>网布 蕾丝/绣品>>网纱
绣花网,蕾丝/绣品>>网纱
珠帆,棉类面料>>其他棉纺>>帆布
弹力缎纹印花布,棉类面料>>缎纹 棉类面料>>梭织印花
真丝绉,丝绸/真丝面料>>真丝面料
纱卡布，,棉类面料>>纱卡
梭织人棉印花,化纤面料>>人棉印花
TR,化纤面料>>色丁 化纤面料>>弹力绉 化纤面料>>醋酸面料 化纤面料>>条子布 化纤面料>>人丝乔其 化纤面料>>人棉印花 化纤面料>>其他粘胶(人棉)面料
乱麻，佳丽纱,化纤面料>>雪纺>>佳丽纱 化纤面料>>雪纺>>乱麻
色丁，花瑶绉，,化纤面料>>花瑶绉 丝绸/真丝面料>>色丁 化纤面料>>色丁 针织面料>>其他针织面料>>针织色丁
高捻雪纺，,化纤面料>>雪纺
箱包布,其他面料>>箱包、鞋材料>>箱包材料
金银丝色织,针织面料>>其他针织面料>>金银丝
金片绣,蕾丝/绣品>>珠片绣
尼龙四面弹,化纤面料>>四面弹
阳离子，春亚纺,化纤面料>>春亚纺 化纤面料>>其他涤纶面料
锦涤纺，棉布,化纤面料>>羽绒服、棉服面料 化纤面料>>其他尼龙面料 棉类面料>>棉布
鞋材布,其他面料>>箱包、鞋材料>>鞋材料
仿真丝提花,化纤面料>>其他化纤面料>>仿真丝
